{:weight=>0.1, :rest=>0.3, :count=>1, :time=>2.637151, :rail=>0.1, :score=>151.256830601093, :hidden=>5}
{:weight=>0.1, :rest=>0.3, :count=>1, :time=>2.669152, :rail=>0.1, :score=>151.256830601093, :hidden=>5}
{:weight=>0.166596416225138, :rest=>0.219272721015757, :count=>98, :time=>162.652303, :rail=>0.651887608825149, :score=>152.349726775956, :hidden=>1}
{:weight=>0.879839138433446, :rest=>0.701372685355224, :count=>89, :time=>294.820862, :rail=>0.675104183390592, :score=>128.087431693989, :hidden=>4}
{:weight=>0.802052084753023, :rest=>0.547308851633944, :count=>8, :time=>343.575651, :rail=>0.37784773800008, :score=>-200.0, :hidden=>71}
{:weight=>0.244841681888645, :rest=>0.663697281814395, :count=>6, :time=>306.254517, :rail=>0.377064243259568, :score=>-29.7267759562842, :hidden=>81}
{:weight=>0.731546670078119, :rest=>0.3, :count=>45, :time=>819.948899, :rail=>0.1, :score=>-200.0, :hidden=>33}
{:weight=>0.136913347779746, :rest=>0.3, :count=>1, :time=>43.261474, :rail=>0.1, :score=>141.639344262295, :hidden=>72}
{:weight=>0.758931212119274, :rest=>0.3, :count=>84, :time=>2724.796849, :rail=>0.1, :score=>-199.781420765027, :hidden=>60}
{:weight=>0.685066550197271, :rest=>0.257713274739561, :count=>90, :time=>3288.764106, :rail=>0.478860855822084, :score=>-197.814207650273, :hidden=>63}
{:weight=>0.596723039518136, :rest=>0.129845459422506, :count=>77, :time=>3690.478083, :rail=>0.722796585102309, :score=>-200.0, :hidden=>79}
{:weight=>0.238495618561897, :rest=>0.3, :count=>5, :time=>122.456004, :rail=>0.1, :score=>161.967213114754, :hidden=>45}
{:weight=>0.268475998582098, :rest=>0.3, :count=>61, :time=>473.575087, :rail=>0.1, :score=>166.994535519126, :hidden=>14}
{:weight=>0.197461169817264, :rest=>0.3, :count=>1, :time=>33.693927, :rail=>0.1, :score=>149.945355191257, :hidden=>58}
{:weight=>0.518228923300858, :rest=>0.3, :count=>4, :time=>65.874768, :rail=>0.1, :score=>-199.781420765027, :hidden=>30}
{:weight=>0.388444032614982, :rest=>0.3, :count=>50, :time=>795.84252, :rail=>0.1, :score=>-145.573770491803, :hidden=>30}
{:weight=>0.171161204699513, :rest=>0.3, :count=>74, :time=>204.781713, :rail=>0.1, :score=>160.437158469945, :hidden=>4}
{:weight=>0.306090068447125, :rest=>0.3, :count=>9, :time=>79.566551, :rail=>0.1, :score=>165.027322404372, :hidden=>16}
{:weight=>0.705792824485433, :rest=>0.754127092158041, :count=>60, :time=>3889.736481, :rail=>0.393442497258777, :score=>-200.0, :hidden=>96}
{:weight=>0.214616413791198, :rest=>0.224401693051458, :count=>97, :time=>4555.825579, :rail=>0.28403031149597, :score=>-122.622950819672, :hidden=>78}
{:weight=>0.57212865498855, :rest=>0.3, :count=>41, :time=>465.518626, :rail=>0.1, :score=>-200.0, :hidden=>21}
{:weight=>0.394311069045833, :rest=>0.3, :count=>11, :time=>470.778927, :rail=>0.1, :score=>-199.562841530055, :hidden=>79}
{:weight=>0.245205660829806, :rest=>0.3, :count=>74, :time=>3556.033393, :rail=>0.1, :score=>-199.781420765027, :hidden=>88}
{:weight=>0.213103828563516, :rest=>0.3, :count=>99, :time=>1084.471028, :rail=>0.1, :score=>161.530054644809, :hidden=>20}
{:weight=>0.284634185047511, :rest=>0.3, :count=>32, :time=>919.743606, :rail=>0.1, :score=>-180.327868852459, :hidden=>54}
{:weight=>0.43197568445293, :rest=>0.3, :count=>38, :time=>1983.68246, :rail=>0.1, :score=>-200.0, :hidden=>95}
{:weight=>0.45273493059707, :rest=>0.3, :count=>58, :time=>1257.031899, :rail=>0.1, :score=>-200.0, :hidden=>41}
{:weight=>0.23671107948218, :rest=>0.3, :count=>48, :time=>2623.610062, :rail=>0.1, :score=>-186.448087431694, :hidden=>99}
{:weight=>0.126918429649553, :rest=>0.3, :count=>96, :time=>1439.386328, :rail=>0.1, :score=>150.819672131148, :hidden=>28}
{:weight=>0.254013362798432, :rest=>0.3, :count=>60, :time=>107.332139, :rail=>0.1, :score=>165.901639344262, :hidden=>2}
{:weight=>0.434208557266339, :rest=>0.3, :count=>49, :time=>2056.871647, :rail=>0.1, :score=>-200.0, :hidden=>72}
{:weight=>0.442450611573426, :rest=>0.3, :count=>57, :time=>1097.25376, :rail=>0.1, :score=>-200.0, :hidden=>36}
{:weight=>0.226869742786174, :rest=>0.3, :count=>32, :time=>524.540002, :rail=>0.1, :score=>163.934426229508, :hidden=>31}
{:weight=>0.119658099447844, :rest=>0.3, :count=>69, :time=>1829.049616, :rail=>0.1, :score=>154.754098360656, :hidden=>53}
{:weight=>0.140634285633482, :rest=>0.3, :count=>93, :time=>3392.720053, :rail=>0.1, :score=>152.131147540984, :hidden=>72}
{:weight=>0.106115088666881, :rest=>0.3, :count=>47, :time=>1657.464802, :rail=>0.1, :score=>150.16393442623, :hidden=>75}
{:weight=>0.323395332402705, :rest=>0.3, :count=>58, :time=>2642.600149, :rail=>0.1, :score=>-198.032786885246, :hidden=>96}
